uid,title,company,domain,p_rnd,topic_id,topic_prob
li-4263720597|associate principal scientist - protein engineering for oncology cell therapy unit,Associate Principal Scientist - Protein Engineering for Oncology Cell Therapy Unit,AstraZeneca,bio,0.866731345653533,-1,0.0844536774655302
in-61fc69b72b238060|research technician ii,Research Technician II,Children's Hospital of Philadelphia,bio,0.987546940644582,35,0.06489629209176881
in-736fa57571dba44e|qc analyst,QC Analyst,"Quality Packaging Specialists Int’l, LLC",bio,0.7855363488197321,3,1.0
in-c912c51ac3feec21|pathology technician (ft; 12p-8:30p) - temple health/fox chase cancer center,PATHOLOGY TECHNICIAN (FT; 12P-8:30P) - Temple Health/Fox Chase Cancer Center,Temple University Health System,bio,0.6626428465048471,0,1.0
in-e336bf1750cabdcb|lab analyst i,Lab Analyst I,Kaycha Labs,bio,0.8863479892412821,-1,0.09599621105337623
in-74e204c21fde0c9e|postdoctoral fellow (prep0003088),Postdoctoral Fellow (PREP0003088),Johns Hopkins University,bio,0.932972113291422,4,0.527848340153048
li-4304454247|content developer (biology),Content Developer (Biology),DataAnnotation,bio,0.6556557814280191,-1,0.00026001090649829263
in-a38466b81370201b|senior scientist,Senior Scientist,MilliporeSigma,bio,0.8998023867607111,56,1.0
in-8e4b4d4a88515bc3|medical laboratory scientist ii,Medical Laboratory Scientist II,Quest Diagnostics,bio,0.9636816978454591,41,0.035020388980235004
in-8a9bc3fc2ced9f9d|scientist - ii,Scientist - II,Creative Global Consulting,bio,0.542447725931803,-1,0.019852603450078016
in-26d0b28d784dd280|postdoctoral associate,Postdoctoral Associate,Rutgers University,bio,0.97378118832906,50,1.0
in-d69e1cd483401833|bioprocess manufacturing technician,Bioprocess Manufacturing Technician,OPS Diagnostics LLC,bio,0.528366168340047,-1,0.0901215449241456
in-5dfe470d33608e62|engineer-ts/ms microbiology (r1 – r3),Engineer-TS/MS Microbiology (R1 – R3),Eli Lilly,bio,0.639699002106984,45,0.9554163093343611
in-f4b42eb6e8cfa4f1|bioanalytical scientist – large molecule,BioAnalytical Scientist – Large Molecule,Primera Analytical Solutions Corp.,bio,0.9732361634572341,-1,0.15222278479067153
li-4255382055|research technologist - 118302,Research Technologist - 118302,The Johns Hopkins University,bio,0.955401360988616,2,1.0
li-4221242041|post-doctoral research fellow- lab of dr. anna pluciennik- department of biochemistry and molecular biology,Post-Doctoral Research Fellow- Lab of Dr. Anna Pluciennik- Department of Biochemistry and Molecular Biology,Jefferson Health,bio,0.6863688230514521,58,1.0
